,id,headline,about,url,modified_date,published_date,primary_tag,secondary_tag
0,p56gwl,Makeshift Liverpool outfox Leicester in statement Anfield win,Liverpool have made a mockery of claims their injury toll would begin to bite after the champions swept Leicester aside 3-0 at home in the Premier League.,https://theage.com.au//sport/soccer/calvert-lewin-nets-a-brace-for-everton-to-sink-fulham-blades-blunt-against-west-ham-20201123-p56gwl.html,2020-11-22T23:19:01Z,2020-11-22T22:10:38Z,EPL,"['Arsenal FC', 'Liverpool FC']"
1,p56gr5,"Tottenham top after beating Man City, Villa fades in EPL","With his team top of the Premier League, Jose Mourinho enjoyed bragging rights over Pep Guardiola in their longstanding rivalry as Tottenham beat City 2-0.",https://theage.com.au//sport/soccer/tottenham-top-after-beating-man-city-villa-fades-in-epl-20201122-p56gr5.html,2020-11-21T23:18:15Z,2020-11-21T23:18:15Z,EPL,[]
2,p56en2,Salah tests positive for coronavirus,"Mohamed Salah has tested positive for COVID-19 and started a period of isolation, adding to Liverpool manager Jurgen Klopp's problems during the international break.",https://theage.com.au//sport/soccer/salah-tests-positive-for-coronavirus-20201114-p56en2.html,2020-11-14T06:49:04Z,2020-11-14T06:48:18Z,Egypt,"['Liverpool FC', 'EPL', 'Coronavirus pandemic']"
3,p56co9,"De Bruyne misses golden opportunity as Arsenal stunned, Leicester go top",Leicester City went top of the Premier League with a tense 1-0 win over Wolves on Sunday while the Manchester City-Liverpool blockbuster ended 1-1 at the Etihad.,https://theage.com.au//sport/soccer/leicester-turn-back-time-to-go-top-of-the-table-with-wolves-win-20201109-p56co9.html,2020-11-08T22:12:14Z,2020-11-08T22:12:04Z,EPL,[]
4,p56cju,Crisis averted as Man United and Solskjaer come out fighting,Manchester United's players came out fighting for their under-fire manager with a 3-1 win at Everton.,https://theage.com.au//sport/soccer/crisis-averted-as-man-united-and-solskjaer-come-out-fighting-20201108-p56cju.html,2020-11-08T00:59:52Z,2020-11-08T00:59:52Z,EPL,[]
5,p56ceo,Southampton top in England for first time in 32 years,"For the first time since 1988, Southampton has ended a day in first place in England's top division. The team achieved the feat on Friday without their best player.",https://theage.com.au//sport/soccer/southampton-top-in-england-for-first-time-in-32-years-20201107-p56ceo.html,2020-11-07T04:38:34Z,2020-11-07T04:38:34Z,EPL,[]
6,p56b0i,Vibrant Leicester go second with 4-1 win at Leeds,"Jamie Vardy inspired and Youri Tielemans scored twice as Leicester City enjoyed an impressive 4-1 win at Leeds United, moving them up to second in the Premier League.",https://theage.com.au//sport/soccer/vibrant-leicester-go-second-with-4-1-win-at-leeds-20201103-p56b0i.html,2020-11-02T23:35:56Z,2020-11-02T23:35:56Z,EPL,[]
7,p56al6,"Arsenal snare elusive away scalp, Bale gets first goal of Spurs return",Gareth Bale scored his first goal since returning to Tottenham from Real Madrid while Arsenal broke a five-year drought and Southampton entered the top four.,https://theage.com.au//sport/soccer/saints-march-home-against-villa-headache-for-ancelotti-at-everton-20201102-p56al6.html,2020-11-01T22:42:47Z,2020-11-01T22:30:34Z,EPL,[]
8,p56ag7,"Liverpool go top, wins for Chelsea and Man City","Liverpool moved clear at the top of the Premier League with a hard-fought 2-1 win over West Ham United, while Chelsea and Manchester City also enjoyed victories.",https://theage.com.au//sport/soccer/liverpool-go-top-wins-for-chelsea-and-man-city-20201101-p56ag7.html,2020-10-31T23:21:19Z,2020-10-31T23:21:19Z,EPL,"['Liverpool FC', 'Chelsea FC', 'Manchester City']"
9,p56aba,"Wolves beat Palace 2-0, climb to third in Premier League",Wolverhampton Wanderers moved up to third in the Premier League after beating Crystal Palace 2-0 on Friday.,https://theage.com.au//sport/soccer/wolves-beat-palace-2-0-climb-to-third-in-premier-league-20201031-p56aba.html,2020-10-31T00:41:26Z,2020-10-31T00:41:18Z,EPL,[]
10,p568y6,Son strikes again as Spurs beat Burnley to move fifth,Son Heung-min's prolific start to the season continued with his 76th minute header giving Tottenham Hotspur a 1-0 win at winless Burnley in the Premier League.,https://theage.com.au//sport/soccer/son-strikes-again-as-spurs-beat-burnley-to-move-fifth-20201027-p568y6.html,2020-10-27T00:09:57Z,2020-10-27T00:09:57Z,EPL,['Tottenham Hotspur']
11,p568hj,"Southampton surprise leaders Everton, Leicester break Arsenal hearts late",Premier League leaders Everton lost Lucas Digne to a second-half red card as Danny Ings inspired Southampton to a 2-0 win on Sunday.,https://theage.com.au//sport/soccer/southampton-surprise-league-leaders-everton-with-win-at-st-mary-s-20201026-p568hj.html,2020-10-25T23:03:05Z,2020-10-25T16:31:30Z,EPL,[]
12,p568c2,"Liverpool scrape a win, but rivals drop points","Champions Liverpool got back to winning ways in the Premier League with a hard-fought 2-1 victory over Sheffield United, but their likely title rivals all dropped points.",https://theage.com.au//sport/soccer/liverpool-scrape-a-win-but-rivals-drop-points-20201025-p568c2.html,2020-10-24T23:56:36Z,2020-10-24T23:56:36Z,EPL,"['Liverpool FC', 'Manchester City', 'Manchester United']"
13,p567xh,Fraser Park's French brickie signs deal with English Premier League club,Florent Indalecio was slaving away on a construction site while playing in NSW's fourth tier of football earlier this year. Now he's officially a Newcastle United player.,https://theage.com.au//sport/soccer/fraser-park-s-french-brickie-signs-deal-with-english-premier-league-club-20201023-p567xh.html,2020-10-23T02:11:12Z,2020-10-23T04:30:00Z,EPL,[]
14,p566rw,Wolves edges to 1-0 win at Leeds as goal rush ends in EPL,After a feast of goals came a relative famine in the English Premier League on Tuesday.,https://theage.com.au//sport/soccer/wolves-edges-to-1-0-win-at-leeds-as-goal-rush-ends-in-epl-20201020-p566rw.html,2020-10-20T00:56:28Z,2020-10-20T00:56:28Z,EPL,[]
15,p566aa,"Villa unbeaten as Barkley sinks Leicester, West Ham spoil Bale return",West Ham have staged an astonishing comeback to draw 3-3 with Tottenham in the Premier League while Aston Villa left it late to maintain their perfect start.,https://theage.com.au//sport/soccer/brighton-and-palace-fulham-and-sheffield-united-all-share-the-spoils-20201019-p566aa.html,2020-10-18T20:57:15Z,2020-10-18T20:56:44Z,EPL,[]
16,p56656,"Frustration for Liverpool in derby draw, City beat Arsenal",Liverpool were left frustrated after a 2-2 draw at Everton in the Merseyside derby on Saturday with VAR ruling out a potential winner from Jordan Henderson in stoppage time.,https://theage.com.au//sport/soccer/frustration-for-liverpool-in-derby-draw-city-beat-arsenal-20201018-p56656.html,2020-10-17T23:56:43Z,2020-10-17T23:56:43Z,EPL,[]
17,p5661b,Villa humbling may prove most important game: Klopp,Liverpool boss Juergen Klopp said the team's 7-2 Premier League defeat by Aston Villa this month was like a punch to the face and could prove to be their most important game this season.,https://theage.com.au//sport/soccer/villa-humbling-may-prove-most-important-game-klopp-20201017-p5661b.html,2020-10-17T04:58:31Z,2020-10-17T04:58:31Z,EPL,['Liverpool FC']
18,p565nl,Spanish extradition: what really happened to Bale in Madrid,"Isolated and not on speaking terms with manager Zinedine Zidane, the Welsh striker escaped the sour Real atmosphere to rejoin Tottenham.",https://theage.com.au//sport/soccer/spanish-extradition-what-really-happened-to-bale-in-madrid-20201016-p565nl.html,2020-10-15T21:36:06Z,2020-10-15T21:59:00Z,EPL,"['La Liga', 'Real Madrid', 'Tottenham Hotspur']"
19,p5658k,"EPL rejects Liverpool, Manchester United-led overhaul but what next?",The American owners of England's two most successful clubs have been given a blunt reminder of the power of the league system they are attempting to blow up.,https://theage.com.au//sport/soccer/epl-rejects-liverpool-manchester-united-led-overhaul-but-what-next-20201015-p5658k.html,2020-10-14T20:56:10Z,2020-10-14T20:56:10Z,EPL,"['Liverpool FC', 'Manchester United', 'England']"
20,p5644j,"Seeing red: Liverpool, Man United plan power grab with EPL overhaul",English giants Manchester United and Liverpool have drawn the ire of the British government with a plan that would see the Premier League reduced to 18 teams.,https://theage.com.au//sport/soccer/seeing-red-liverpool-man-united-plan-power-grab-with-epl-overhaul-20201012-p5644j.html,2020-10-11T20:30:16Z,2020-10-11T20:30:16Z,EPL,"['Liverpool FC', 'Manchester United']"
21,p561xu,"Villa smash Liverpool 7-2, Tottenham demolish Man United","Aston Villa have stunned defending champions Liverpool, while Tottenham tore apart Manchester United for a 6-1 victory.",https://theage.com.au//sport/soccer/tottenham-demolish-manchester-united-with-6-1-drubbing-20201005-p561xu.html,2020-10-04T21:47:27Z,2020-10-04T18:16:09Z,EPL,"['Tottenham Hotspur', 'Manchester United', 'Liverpool FC']"
22,p561sn,Man City slip further behind leaders Everton with Leeds draw,"When the final whistle blew at a rain-swept Elland Road, with the managers soaked from head to toe, Marcelo Bielsa went over to Pep Guardiola and placed both hands on his shoulders.",https://theage.com.au//sport/soccer/man-city-slip-further-behind-leaders-everton-with-leeds-draw-20201004-p561sn.html,2020-10-04T00:16:44Z,2020-10-04T00:16:44Z,EPL,[]
23,p561cq,Arsenal beat Liverpool in penalty shootout,Arsenal squeezed past Liverpool 5-4 on penalties to advance to the League Cup quarter-finals.,https://theage.com.au//sport/soccer/arsenal-beat-liverpool-in-penalty-shootout-20201002-p561cq.html,2020-10-02T00:47:55Z,2020-10-02T00:37:20Z,EPL,"['Arsenal FC', 'Liverpool FC']"
24,p560wy,"Man United beat Brighton again, Calvert-Lewin hat-trick for Everton",Manchester United earned their second win over Brighton & Hove Albion in five days as they booked a place in the League Cup quarter-finals with a 3-0 win at the Amex Stadium.,https://theage.com.au//sport/soccer/man-united-beat-brighton-again-calvert-lewin-hat-trick-20201001-p560wy.html,2020-10-01T00:54:14Z,2020-10-01T00:54:04Z,EPL,"['Manchester United', 'Manchester City']"
25,p560iy,Nature calls: Mourinho pursues Spur who left pitch for toilet break,"An urgent trip to the bathroom for Tottenham's Eric Dier led to the surreal sight of the defender running off the pitch, with coach Jose Mourinho chasing after him.",https://theage.com.au//sport/soccer/nature-calls-mourinho-pursues-spur-who-left-pitch-for-toilet-break-20200930-p560iy.html,2020-09-29T23:49:25Z,2020-09-29T23:49:25Z,EPL,"['Tottenham Hotspur', 'Chelsea FC']"
26,p5606x,Liverpool's Klopp bristles at 'sloppy' criticism,Jurgen Klopp hit back at television pundit and former Manchester United captain Roy Keane on Monday after the Irishman described the Premier League champions' defending in a 3-1 win over Arsenal.,https://theage.com.au//sport/soccer/liverpool-s-klopp-bristles-at-sloppy-criticism-20200929-p5606x.html,2020-09-29T00:04:11Z,2020-09-29T00:04:11Z,EPL,['Liverpool FC']
27,p55zrt,"Vardy scores hat-trick as Leicester stun City, Hammers get first points",Jamie Vardy scored a hat-trick as Leicester came from behind to stun hosts Manchester City in a wild 5-2 win on Sunday.,https://theage.com.au//sport/soccer/vardy-scores-hat-trick-as-leicester-stun-manchester-city-5-2-20200928-p55zrt.html,2020-09-27T21:07:49Z,2020-09-27T21:07:48Z,EPL,"['Manchester City', 'Tottenham Hotspur']"
28,p55zme,"Penalties help Everton and United, Chelsea fight back","Everton maintained their perfect start to the season with a 2-1 win at Crystal Palace, while a penalty in the 10th minute of stoppage time gave Manchester United a 3-2 win at Brighton.",https://theage.com.au//sport/soccer/penalties-help-everton-and-united-chelsea-fight-back-20200927-p55zme.html,2020-09-27T00:12:42Z,2020-09-27T00:12:42Z,EPL,[]
29,p55zi3,English Premier League managers back bail-out for lower-tier clubs,English Premier League managers have backed a bail-out of clubs in danger of going bust during the coronavirus crisis.,https://theage.com.au//sport/soccer/english-premier-league-managers-back-bail-out-for-lower-tier-clubs-20200926-p55zi3.html,2020-09-26T03:06:46Z,2020-09-26T03:06:46Z,EPL,[]
30,p55ya5,"West Ham boss Moyes, two players test positive for COVID-19",The London club's medical staff were informed of the test results as the team were preparing for a League Cup match against Hull City.,https://theage.com.au//sport/soccer/west-ham-boss-moyes-two-players-test-positive-for-covid-19-20200923-p55ya5.html,2020-09-22T22:41:10Z,2020-09-22T22:41:10Z,EPL,"['Tottenham Hotspur', 'Coronavirus pandemic']"
31,p55y15,City off to winning start with victory at Wolves,Manchester City got their Premier League campaign off to a flying start with a 3-1 win at Wolverhampton on Monday.,https://theage.com.au//sport/soccer/city-off-to-winning-start-with-victory-at-wolves-20200922-p55y15.html,2020-09-22T02:26:58Z,2020-09-22T02:26:58Z,EPL,[]
32,p55xui,From Sydney park soccer to the EPL: How a French star slipped through the cracks,Florent Indalecio was a brickies labourer in Sydney and played part-time football in the NSW fourth tier. Now he's on the cusp of a contract with Newcastle United in the Premier League.,https://theage.com.au//sport/soccer/from-sydney-park-soccer-to-the-epl-how-a-french-star-slipped-through-the-cracks-20200921-p55xui.html,2020-09-22T14:31:24Z,2020-09-22T01:26:41Z,EPL,[]
33,p55xi0,"Liverpool too good for Chelsea, Spurs sink Southampton",Son Heung-min will grab the headlines for his four-goal haul for Spurs but a Sadio Mane double was the difference in the first big clash of the new EPL season.,https://theage.com.au//sport/soccer/quality-service-from-kane-as-spurs-sink-southampton-brighton-win-at-newcastle-20200921-p55xi0.html,2020-09-20T20:49:10Z,2020-09-20T20:44:38Z,EPL,"['Tottenham Hotspur', 'Liverpool FC', 'Chelsea FC']"
34,p55xd4,Bale says time felt right to return to Spurs,Gareth Bale says the time is right to return to Tottenham Hotspur after seven trophy-laden seasons with Real Madrid.,https://theage.com.au//sport/soccer/bale-says-time-felt-right-to-return-to-spurs-20200920-p55xd4.html,2020-09-20T00:48:43Z,2020-09-20T00:48:43Z,EPL,['Tottenham Hotspur']
35,p55xcm,"Man United make dismal start, Arsenal and Everton win again",United's Premier League campaign began in faltering fashion as a double from their former player Wilfried Zaha gave Crystal Palace a 3-1 win at Old Trafford.,https://theage.com.au//sport/soccer/man-united-make-dismal-start-arsenal-and-everton-win-again-20200920-p55xcm.html,2020-09-20T00:08:02Z,2020-09-20T00:08:02Z,EPL,[]
36,p55w1d,Arsenal lock up goal machine Aubameyang with new three-year deal,The decision will be a major boost to manager Mikel Arteta who said he wanted to build the squad around the Gabon international after last month's FA Cup win.,https://theage.com.au//sport/soccer/arsenal-lock-up-goal-machine-aubameyang-with-new-three-year-deal-20200916-p55w1d.html,2020-09-15T21:11:44Z,2020-09-15T21:11:44Z,Arsenal FC,['EPL']
37,p55vnm,Clinical Chelsea sink Brighton to make winning start,Chelsea got their Premier League campaign on track after lethal finishing coupled with a slice of good fortune gave them a 3-1 win at Brighton & Hove Albion on Monday.,https://theage.com.au//sport/soccer/clinical-chelsea-sink-brighton-to-make-winning-start-20200915-p55vnm.html,2020-09-14T21:38:56Z,2020-09-14T21:38:56Z,EPL,[]
38,p55v8t,"Vardy double hands Leicester the win at West Brom, Everton beat Spurs",Jamie Vardy converted two penalties to help Leicester City get off to a winning start in the Premier League season with a 3-0 victory at West Brom.,https://theage.com.au//sport/soccer/vardy-double-opens-leicester-s-premier-league-account-at-west-brom-20200914-p55v8t.html,2020-09-13T20:35:53Z,2020-09-13T15:22:27Z,EPL,['Tottenham Hotspur']
39,p55v5l,"Mat Ryan, the last Aussie left in the EPL, confident of future at Brighton","Socceroos star Mathew Ryan has backed himself to remain Brighton's No.1 goalkeeper, even if a reported transfer swoop for Arsenal's Emiliano Martinez comes off.",https://theage.com.au//sport/soccer/mat-ryan-the-last-aussie-left-in-the-epl-confident-of-future-at-brighton-20200913-p55v5l.html,2020-09-13T05:10:15Z,2020-09-13T05:10:15Z,Socceroos,['EPL']
40,p55v3d,"Liverpool, Arsenal off to flying starts in new Premier League season","Mohamed Salah scored a hat-trick, including two penalties, as champions Liverpool won a seven goal thriller over a hugely impressive Leeds United at Anfield.",https://theage.com.au//sport/soccer/liverpool-arsenal-off-to-flying-starts-in-new-premier-league-season-20200913-p55v3d.html,2020-09-13T00:25:29Z,2020-09-13T00:25:29Z,EPL,"['Liverpool FC', 'Arsenal FC']"
41,p55v29,Arsenal thrash hapless Fulham in EPL season opener,"Arsenal got their Premier League campaign underway with a 3-0 win at promoted Fulham thanks to goals from Alexandre Lacazette, new signing Gabriel and captain Pierre-Emerick Aubameyang in the opening game of the season on Saturday.",https://theage.com.au//sport/soccer/arsenal-thrash-hapless-fulham-in-epl-season-opener-20200912-p55v29.html,2020-09-12T13:45:01Z,2020-09-12T13:45:01Z,EPL,[]
42,p55upb,'We lost a generation of top players': One Australian in new Premier League season,The English Premier League kicks off this weekend but fans tuning into the Optus broadcast in search of Socceroos heroes have only Mat Ryan to look out for.,https://theage.com.au//sport/soccer/we-lost-a-generation-of-top-players-one-australian-in-new-premier-league-season-20200911-p55upb.html,2020-09-11T04:58:46Z,2020-09-11T04:32:58Z,EPL,['Socceroos']
43,p55ul0,Back to the 1970s as Liverpool host Leeds to kick off EPL defence,It is a match almost two decades in the making for Leeds but the Premier League's new boys can expect a baptism of fire against last season's champions at Anfield.,https://theage.com.au//sport/soccer/back-to-the-1970s-as-liverpool-host-leeds-to-kick-off-epl-defence-20200911-p55ul0.html,2020-09-10T23:21:10Z,2020-09-10T21:37:50Z,EPL,['Liverpool FC']
44,p55qmu,"Messi is set to join Manchester City, say Barca",Barcelona bosses believe megastar Lionel Messi will reunite with former manager Pep Guardiola in the English Premier League.,https://theage.com.au//sport/soccer/messi-is-set-to-join-manchester-city-say-barca-20200830-p55qmu.html,2020-08-30T07:12:14Z,2020-08-30T00:56:51Z,EPL,"['Lionel Messi', 'Manchester City', 'Barcelona FC']"
45,p55qgx,Socceroo Mooy leaves Brighton to join Chinese Super League club,Australia midfielder Aaron Mooy is joining Chinese Super League club Shanghai SIPG from Brighton and Hove Albion for an undisclosed fee.,https://theage.com.au//sport/soccer/socceroo-mooy-leaves-brighton-to-join-chinese-super-league-club-20200829-p55qgx.html,2020-08-29T00:24:02Z,2020-08-29T00:24:02Z,Socceroos,['EPL']
46,p55mxp,"Brighton complete $300,000 signing of Sydney FC teenager","Almost a year after catching the attention of the Premier League club, 17-year-old Cameron Peupion has finalised his move to the EPL club.",https://theage.com.au//sport/soccer/brighton-complete-300-000-signing-of-sydney-fc-teenager-20200818-p55mxp.html,2020-08-18T07:20:05Z,2020-08-18T07:20:05Z,A-League,"['Sydney FC', 'EPL', 'Socceroos']"
47,p55jh0,Arsenal talisman Aubameyang on brink of new deal,Arsenal are in the process of drawing up a final proposal for a new deal that would keep Pierre-Emerick Aubameyang in north London for another three years.,https://theage.com.au//sport/soccer/arsenal-talisman-aubameyang-on-brink-of-new-deal-20200807-p55jh0.html,2020-08-06T23:23:02Z,2020-08-06T23:23:02Z,EPL,['Arsenal FC']
48,p55im4,Knife of Bryan: Fulham win richest game in sport to return to EPL,Fulham have won their second Championship play-off final in three seasons to return to the top flight at the expense of cross-London rivals Brentford.,https://theage.com.au//sport/soccer/fulham-back-in-epl-after-knife-of-bryan-breaks-brentford-hearts-20200805-p55im4.html,2020-08-04T22:54:09Z,2020-08-04T22:35:31Z,EPL,[]
49,p55h61,Fulham one match from Premier League return despite loss to Cardiff,It will be an all-London affair at Wembley next week with Fulham and Brentford chasing the final EPL spot after the former edged Cardiff 3-2 on aggregate.,https://theage.com.au//sport/soccer/fulham-one-match-from-premier-league-return-despite-loss-to-cardiff-20200731-p55h61.html,2020-07-30T21:15:59Z,2020-07-30T21:15:59Z,EPL,[]
50,p55fnv,"Man U, Chelsea into Champions League as EPL season ends after 352 days","It was a frantic final day of the Premier League, with Champions League spots and relegation both still in play in a campaign like no other.",https://theage.com.au//sport/soccer/bournemouth-and-watford-go-down-united-and-chelsea-into-champions-league-20200727-p55fnv.html,2020-07-27T03:16:33Z,2020-07-26T22:53:18Z,EPL,"['Manchester United', 'Chelsea FC', 'Arsenal FC', 'Manchester City', 'Liverpool FC']"
51,p55er3,Australian sports tech firm Catapults over virus,Listed sports technology outfit Catapult has avoided becoming a casualty of the COVID-19 pandemic and is ready to tackle the 'new normal' for professional sports.,https://theage.com.au//business/companies/australian-sports-tech-firm-catapults-over-virus-20200723-p55er3.html,2020-07-25T00:42:43Z,2020-07-24T14:00:00Z,Wearables,"['Catapult Group International', 'Bundesliga', 'EPL']"
52,p55em4,Liverpool beat Chelsea in eight-goal thriller,Champions Liverpool geared up to lift the Premier League trophy with a 5-3 win over Chelsea.,https://theage.com.au//sport/soccer/liverpool-beat-chelsea-in-eight-goal-thriller-20200723-p55em4.html,2020-07-22T21:47:57Z,2020-07-22T21:24:35Z,EPL,"['Liverpool FC', 'Chelsea FC', 'Manchester United']"
53,p55e87,Man City leave Watford in relegation zone after Aston Villa beat Arsenal,Watford has now been outscored 18-0 in its last three meetings with City with three different managers in charge.,https://theage.com.au//sport/soccer/man-city-thrash-watford-as-relegation-fears-mount-for-hornets-20200722-p55e87.html,2020-07-21T21:34:26Z,2020-07-21T20:33:30Z,EPL,['Manchester City']
54,p55dvj,Wolves back up to sixth as Palace slump continues,Wolverhampton Wanderers reclaimed sixth place in the Premier League as they beat a woefully out-of-form Crystal Palace 2-0 at Molineux.,https://theage.com.au//sport/soccer/wolves-back-up-to-sixth-as-palace-slump-continues-20200721-p55dvj.html,2020-07-20T21:25:28Z,2020-07-20T21:25:28Z,EPL,[]
55,p55dq5,Kane 'would not be so special' in another team: Mourinho,"Tottenham Hotspur manager Jose Mourinho says the club are lucky to have striker Harry Kane and that the England skipper ""would not be so special"" at another team.",https://theage.com.au//sport/soccer/kane-would-not-be-so-special-in-another-team-mourinho-20200720-p55dq5.html,2020-07-20T05:07:09Z,2020-07-20T05:07:09Z,Tottenham Hotspur,['EPL']
56,p55dim,"Leicester shrug off Spurs loss before 'perfect' final day, Relegation looms for Bournemouth",Bournemouth’s five-year Premier League residency was left hanging by a thread on Sunday after a 2-0 home defeat to Southampton.,https://theage.com.au//sport/soccer/relegation-looms-for-bournemouth-after-derby-loss-spurs-beat-leicester-20200720-p55dim.html,2020-07-19T20:31:27Z,2020-07-19T17:35:47Z,EPL,['Tottenham Hotspur']
57,p55dd6,"Arteta outwits Guardiola: Arsenal beat City, reach final","Seven months after leaving Pep Guardiola's side, Mikel Arteta outwitted his mentor to ensure his first season as Arsenal manager will end with an FA Cup final.",https://theage.com.au//sport/soccer/arteta-outwits-guardiola-arsenal-beat-city-reach-final-20200719-p55dd6.html,2020-07-18T23:44:47Z,2020-07-18T23:44:47Z,FA Cup,['EPL']
58,p55d8v,Leeds United back in Premier League after 16-year absence,Leeds United will return to the Premier League after West Bromwich Albion's loss at Huddersfield guaranteed promotion.,https://theage.com.au//sport/soccer/leeds-united-back-in-premier-league-after-16-year-absence-20200718-p55d8v.html,2020-07-18T02:22:39Z,2020-07-18T02:20:13Z,EPL,['England']
59,p55cwc,Man United-Leicester clash on final day looms as Champions League qualifier,Manchester United and Leicester City kept up their chase for a top four spot with victories over Crystal Palace and Sheffield United respectively.,https://theage.com.au//sport/soccer/man-united-leicester-clash-on-final-day-looms-as-champions-league-qualifier-20200717-p55cwc.html,2020-07-16T22:19:11Z,2020-07-16T22:19:11Z,EPL,['Manchester United']
60,p55c0f,'Every second Aussie is a Leeds fan': English giant on verge of reawakening,"After 16 years of pain, Leeds United are close enough to taste a return to English football's top flight. It's been a long wait for their Australian fans too.",https://theage.com.au//sport/soccer/every-second-aussie-is-a-leeds-fan-english-giant-on-verge-of-reawakening-20200714-p55c0f.html,2020-07-17T15:50:08Z,2020-07-16T20:57:32Z,EPL,[]
61,p55chi,Arsenal hand Liverpool 2-1 loss to end hopes of record points haul,"The loss means Liverpool, on 93 points, can now only stretch that tally to 99, one short of Manchester City's record.",https://theage.com.au//sport/soccer/arsenal-hand-liverpool-2-1-loss-to-end-hopes-of-record-points-haul-20200716-p55chi.html,2020-07-16T15:09:12Z,2020-07-15T21:35:55Z,EPL,['Arsenal FC']
62,p55c36,Man United look to make sweeping changes with six players to be put up for sale,Manchester United will listen to offers for six players this summer as Ole Gunnar Solskjaer seeks to raise funds to swell his transfer kitty.,https://theage.com.au//sport/soccer/man-united-look-to-make-sweeping-changes-with-six-players-to-be-put-up-for-sale-20200715-p55c36.html,2020-07-15T03:44:10Z,2020-07-15T03:44:10Z,EPL,['England']
63,p55c42,Chelsea edge Norwich to boost Champions League chances,Olivier Giroud scored the only goal as Chelsea consolidated third place and moved four points clear of fifth in the race for a top four spot.,https://theage.com.au//sport/soccer/chelsea-edge-norwich-to-boost-champions-league-chances-20200715-p55c42.html,2020-07-14T21:49:18Z,2020-07-14T21:49:18Z,EPL,['Chelsea FC']
64,p55c3s,"Man City defiant as Guardiola fires back at Klopp, Mourinho comments","Manchester City have had their European ban overturned, but are still at loggerheads with other clubs.",https://theage.com.au//sport/soccer/man-city-defiant-as-guardiola-fires-back-at-klopp-mourinho-comments-20200715-p55c3s.html,2020-07-14T20:54:59Z,2020-07-14T20:54:59Z,EPL,"['Manchester City', 'Liverpool FC', 'Tottenham Hotspur']"
65,p55brq,United stay fifth after Saints grab last-gasp leveller,Manchester United's Champions League qualification hopes suffered a blow after an equaliser deep in stoppage time from Michael Obafemi earned Southampton a 2-2 draw.,https://theage.com.au//sport/soccer/united-stay-fifth-after-saints-grab-last-gasp-leveller-20200714-p55brq.html,2020-07-13T22:07:35Z,2020-07-13T22:07:35Z,EPL,['Manchester United']
66,p55bfh,Spurs in derby win over Arsenal as Wolves demolish Everton,Toby Alderweireld's 81st-minute header sealed a 2-1 Premier League victory for Tottenham Hotspur against Arsenal in the north London derby on Sunday.,https://theage.com.au//sport/soccer/spurs-in-derby-win-over-arsenal-as-wolves-demolish-everton-20200713-p55bfh.html,2020-07-12T22:52:50Z,2020-07-12T17:52:43Z,EPL,"['Arsenal FC', 'Tottenham Hotspur']"
67,p55bab,"Norwich relegated, Liverpool drop home points for first time",Norwich became the first team to be relegated from the English Premier League as Liverpool dropped points at Anfield for the first time this season on Saturday.,https://theage.com.au//sport/soccer/norwich-relegated-liverpool-drop-home-points-for-first-time-20200712-p55bab.html,2020-07-12T01:02:24Z,2020-07-12T01:01:55Z,EPL,"['Liverpool FC', 'Manchester City', 'Chelsea FC']"
68,p55b4v,Manchester City set to learn outcome of CAS appeal over European ban,Manchester City will discover on Monday whether their appeal against a two-year UEFA ban from European football has been successful.,https://theage.com.au//sport/soccer/manchester-city-set-to-learn-outcome-of-cas-appeal-over-european-ban-20200711-p55b4v.html,2020-07-11T02:15:12Z,2020-07-11T02:15:12Z,UEFA Champions League,"['UEFA', 'Manchester City', 'EPL', 'Europa League']"
69,p55a0o,"Vardy's late strike rescues Leicester, Welbeck stunner pulls Watford closer to safety","Jamie Vardy pounces to score a crucial late equaliser, Chelsea go third with derby win and Danny Welbeck scores first goal in almost two years. It was worth the wait.",https://theage.com.au//sport/soccer/vardy-s-late-strike-rescues-leicester-welbeck-stunner-pulls-watford-closer-to-safety-20200708-p55a0o.html,2020-07-07T23:20:28Z,2020-07-07T22:06:10Z,EPL,"['Arsenal FC', 'Chelsea FC']"
70,p55a07,Europe's top-flight clubs face $6.46b in lost revenue due to COVID-19,"The analysis warns that the biggest losses would be felt next season, even if it is played in full and in front of crowds.",https://theage.com.au//sport/soccer/europe-s-top-flight-clubs-face-6-46b-in-lost-revenue-due-to-covid-19-20200708-p55a07.html,2020-07-07T21:58:19Z,2020-07-07T20:48:52Z,Coronavirus pandemic,"['EPL', 'UEFA Champions League']"
71,p559n6,Spurs captain Lloris confronts Son during 1-0 win over Everton,Tottenham duo Hugo Lloris and Son Heung-min had to be separated by teammates during a confrontation at halftime of a 1-0 victory over Everton in the English Premier League.,https://theage.com.au//sport/soccer/spurs-captain-lloris-confronts-son-during-1-0-win-over-everton-20200707-p559n6.html,2020-07-06T21:28:38Z,2020-07-06T21:28:38Z,EPL,[]
72,p5599l,"Fortress Anfield holds strong as Liverpool beat Villa, Saints overcome Man City",Liverpool made it 17 wins out of 17 at Anfield after goals by Sadio Mane and Curtis Jones handed the champions a 2-0 win over Aston Villa.,https://theage.com.au//sport/soccer/fortress-anfield-holds-strong-as-liverpool-seal-win-over-villa-20200706-p5599l.html,2020-07-05T23:40:55Z,2020-07-05T19:01:17Z,EPL,['Liverpool FC']
